x,r2,mse
34,0.7823686180098014,7277.602557285001
35,0.854798367519677,4855.548690621957
36,0.8421389351052041,5278.880642433457
37,0.8170735800693213,6117.067167925504
38,0.88183811134399,3951.3385210931237
39,0.7810253459042665,7322.521632930124
40,0.8903620206360849,3666.2986362432057
41,0.8603397053576158,4670.246120508333
42,0.896060914308982,3475.727392389046
43,0.8815378068713782,3961.3807152742183
44,0.8989624804474577,3378.6988988124435
45,0.8843525707919317,3867.2548915118264
46,0.8819973607485883,3946.0132143126834
47,0.8892202036780655,3704.4810432915
48,0.8784302839858625,4065.296411124859
49,0.8529900171979334,4916.020001356827
