x,r2,mse
38,0.7845585202587639,7204.372134073467
39,0.7776147612266703,7436.5717278407465
40,0.7993805617795176,6708.722442888404
41,0.6862703493337141,10491.132699271842
42,0.7708253641196195,7663.609452349252
43,0.7532845694056916,8250.174364539364
44,0.6875770097166654,10447.437921168117
45,0.7892874807719447,7046.235495830856
46,0.8005669275701242,6669.050321006716
47,0.7874696350783152,7107.024332200523
48,0.6594609190818479,11387.641173261693
49,0.6816042200201919,10647.168259558093
50,0.6778055095518141,10774.19729721911
51,0.8015199213037442,6637.182170515529
52,0.8168755171527825,6123.690400175944
53,0.8318918885634616,5621.542309307229
54,0.8112514288461025,6311.7601494409455
55,0.7852056455030656,7182.732238715797
56,0.7001786999577223,10026.036870061618
57,0.6774305299105968,10786.736632175753
58,0.791960852721345,6956.837825524256
59,0.7778509569467568,7428.673333037559
60,0.736633916741041,8806.972889203344
61,0.6821892072744292,10627.606261198829
62,0.8435654865977777,5231.176700586871
63,0.8014990800304231,6637.879103571005
64,0.8210184599549346,5985.150218810994
65,0.8277495538536079,5760.062156040172
66,0.7878004632329909,7095.961424808806
67,0.8114801805157038,6304.110683998742
68,0.6875107622723904,10449.653238487983
69,0.8193427661115342,6041.185491336661
70,0.8692197259218991,4373.297859754832
71,0.8245069974628162,5868.493377980536
72,0.7730753625165275,7588.3694114255495
73,0.668206400882359,11095.19189442122
74,0.6580937396590296,11433.359710601211
75,0.76786145093873,7762.722833643604
76,0.8559334304770843,4817.592137637894
